"Date (dd/mm/yy)","Generated (kWh)","Efficiency (kWh/kW)","Exported (kWh)","Peak Power (kW)","Peak Time (hh:mm:am/pm)","Weather Conditions (category)"
15/05/19,57.992,4.1419999999999995,45.641000000000005,11.822000000000001,11:20AM,Partly Cloudy
14/05/19,73.376,5.2410000000000005,61.382,10.593,1:00PM,Fine
13/05/19,57.019,4.073,45.422,11.51,12:10PM,Partly Cloudy
12/05/19,69.405,4.958,44.441,11.335,1:35PM,Fine
11/05/19,50.58,3.613,36.613,12.056,12:30PM,Partly Cloudy
10/05/19,29.358,2.097,13.140999999999998,9.207,9:55AM,Cloudy
09/05/19,18.256,1.304,7.965,5.4510000000000005,11:10AM,Cloudy
08/05/19,16.776,1.198,5.287000000000001,3.679,10:40AM,Cloudy
07/05/19,43.044,3.075,31.985,12.148,12:25PM,Mostly Cloudy
06/05/19,51.648999999999994,3.6889999999999996,39.131,12.058,12:30PM,Partly Cloudy
05/05/19,77.05199999999999,5.504,57.426,10.963,12:05PM,Fine
04/05/19,77.21600000000001,5.515,61.23,10.841,12:20PM,Fine
03/05/19,72.016,5.144,54.943000000000005,10.759,12:45PM,Fine
02/05/19,58.166000000000004,4.155,46.203,11.489,12:55PM,Partly Cloudy
01/05/19,67.921,4.852,54.141000000000005,11.364,11:15AM,Partly Cloudy
30/04/19,37.288000000000004,2.6630000000000003,21.64,10.193,1:20PM,Mostly Cloudy
29/04/19,26.279,1.8769999999999998,16.15,10.902000000000001,2:05PM,Cloudy
28/04/19,61.25899999999999,4.376,40.762,11.232000000000001,12:40PM,Partly Cloudy
27/04/19,65.368,4.669,45.805,10.901,12:25PM,Fine
26/04/19,76.512,5.465,61.066,10.787,1:10PM,Fine
25/04/19,75.41199999999999,5.3870000000000005,60.669,10.687999999999999,1:05PM,Fine
24/04/19,74.844,5.346,60.61600000000001,10.655999999999999,12:55PM,Fine
23/04/19,76.13,5.438,64.179,10.811,12:50PM,Fine
22/04/19,77.257,5.518,63.335,10.952,12:35PM,Fine
21/04/19,68.732,4.909,51.01,12.168,1:10PM,Fine
20/04/19,74.461,5.319,63.407,11.585,1:20PM,Fine
19/04/19,72.8,5.2,57.246,11.696,12:00PM,Fine
18/04/19,75.958,5.426,63.824,10.937999999999999,1:00PM,Fine
17/04/19,79.241,5.66,65.243,11.289000000000001,12:40PM,Fine
16/04/19,26.096999999999998,1.864,12.01,8.005,1:05PM,Cloudy
15/04/19,76.938,5.496,62.45399999999999,11.363,11:35AM,Fine
14/04/19,72.42399999999999,5.172999999999999,56.6,11.132,12:15PM,Fine
13/04/19,77.89,5.564,61.068999999999996,11.015999999999998,12:50PM,Fine
12/04/19,58.727,4.195,49,12.203,11:45AM,Partly Cloudy
11/04/19,67.977,4.856,54.88,11.539000000000001,12:10PM,Fine
10/04/19,80.998,5.7860000000000005,69.533,11.46,12:25PM,Fine
09/04/19,78.44800000000001,5.603,66.48,11.367,12:50PM,Fine
08/04/19,71.453,5.104,59.033,10.933,11:30AM,Fine
07/04/19,76.777,5.484,59.818000000000005,11.931,12:25PM,Fine
06/04/19,73.462,5.247000000000001,58.016999999999996,12.217,12:05PM,Fine
05/04/19,33.646,2.403,11.085,8.818,11:40AM,Mostly Cloudy
04/04/19,37.81,2.701,20.576999999999998,12.217,2:10PM,Mostly Cloudy
03/04/19,47.717,3.408,34.826,12.203,12:05PM,Partly Cloudy
02/04/19,78.917,5.6370000000000005,67.03399999999999,11.866,1:15PM,Fine
01/04/19,74.88,5.349,54.132,11.208,1:00PM,Fine
31/03/19,78.903,5.636,66.818,11.307,12:55PM,Fine
30/03/19,78.872,5.6339999999999995,66.866,11.247,1:05PM,Fine
29/03/19,79.1,5.65,54.768,11.537,12:35PM,Fine
28/03/19,74.133,5.295,57.49,12.175999999999998,1:15PM,Fine
27/03/19,58.536,4.181,47.442,11.588,1:30PM,Partly Cloudy
26/03/19,59.482,4.249,45.073,11.975999999999999,1:00PM,Fine
25/03/19,79.248,5.6610000000000005,67.16,11.422,1:10PM,Fine
24/03/19,78.218,5.587000000000001,66.937,11.725999999999999,12:45PM,Fine
