DateTime,Generated,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-08-14 17:00:00+00:00,0.6276404965414445,27.7,-106,0.0,13.8,99,925,693,792,14.2,42.5,0.0,976.6,275,2.2,41
2019-09-30 13:15:00+00:00,0.0002328993641847358,13.1,-90,0.0,6.9,0,1,0,1,7.3,65.9,0.0,976.5,82,1.1,94
2019-08-08 02:45:00+00:00,0.0002328993641847358,22.2,68,0.0,14.8,0,0,0,0,27.8,62.9,0.0,978.7,277,2.2,93
2019-09-10 15:00:00+00:00,0.0737825185737243,18.5,-97,54.0,12.9,140,23,8,148,14.7,69.9,0.0,977.2,216,1.9,70
2019-06-02 22:00:00+00:00,0.7444240010558104,23.1,100,6.9,10.9,150,852,712,862,15.1,46.2,0.0,963.5,250,3.3,33
2019-10-14 00:15:00+00:00,0.06941953715133024,20.0,106,0.0,13.6,52,513,95,147,13.1,66.8,0.0,975.5,262,3.0,80
2019-09-08 00:15:00+00:00,0.2806437338426066,28.2,96,0.0,13.7,67,742,263,331,15.2,41.0,0.0,978.1,273,3.5,69
2019-07-06 14:30:00+00:00,0.06785522975522276,18.4,-76,66.9,14.0,116,7,3,118,13.5,75.3,0.0,981.4,239,1.6,69
2019-05-29 03:00:00+00:00,0.0002328993641847358,14.1,61,0.0,10.4,0,0,0,0,15.2,78.2,0.0,960.6,275,2.7,95
2019-09-04 13:15:00+00:00,0.0002328993641847358,25.3,-80,0.0,17.2,7,16,3,9,34.7,60.8,0.0,975.8,286,0.5,91
2019-06-01 17:15:00+00:00,0.2763234506369798,22.8,-100,72.8,10.4,256,4,3,259,14.3,45.3,0.0,961.7,252,3.6,33
2019-10-09 19:15:00+00:00,0.7768513558624651,23.9,-175,0.0,8.6,90,994,774,864,11.2,37.5,0.0,975.8,238,4.0,39
